--------- beginning of /dev/log/main
09-15 14:27:07.620  3023  3023 W dalvikvm: Link of class 'Lorg/conscrypt/TrustManagerImpl;' failed
09-15 14:27:07.620  3023  3023 I dalvikvm: Could not find method org.conscrypt.TrustManagerImpl.getHostnameVerifier, referenced from method org.conscrypt.Conscrypt.getHostnameVerifier
09-15 14:27:07.620  3023  3023 W dalvikvm: VFY: unable to resolve virtual method 3573: Lorg/conscrypt/TrustManagerImpl;.getHostnameVerifier ()Lorg/conscrypt/ConscryptHostnameVerifier;
09-15 14:27:07.620  3023  3023 D dalvikvm: VFY: replacing opcode 0x6e at 0x0004
09-15 14:27:07.620  3023  3023 W dalvikvm: Unable to resolve superclass of Lorg/conscrypt/TrustManagerImpl; (305)
09-15 14:27:07.620  3023  3023 W dalvikvm: Link of class 'Lorg/conscrypt/TrustManagerImpl;' failed
09-15 14:27:07.620  3023  3023 E dalvikvm: Could not find class 'org.conscrypt.TrustManagerImpl', referenced from method org.conscrypt.Conscrypt.isConscrypt
09-15 14:27:07.620  3023  3023 W dalvikvm: VFY: unable to resolve instanceof 605 (Lorg/conscrypt/TrustManagerImpl;) in Lorg/conscrypt/Conscrypt;
09-15 14:27:07.620  3023  3023 D dalvikvm: VFY: replacing opcode 0x20 at 0x0000
09-15 14:27:07.620  3023  3023 W dalvikvm: Unable to resolve superclass of Lorg/conscrypt/TrustManagerImpl; (305)
09-15 14:27:07.620  3023  3023 W dalvikvm: Link of class 'Lorg/conscrypt/TrustManagerImpl;' failed
09-15 14:27:07.620  3023  3023 I dalvikvm: Could not find method org.conscrypt.TrustManagerImpl.setDefaultHostnameVerifier, referenced from method org.conscrypt.Conscrypt.setDefaultHostnameVerifier
09-15 14:27:07.620  3023  3023 W dalvikvm: VFY: unable to resolve static method 3583: Lorg/conscrypt/TrustManagerImpl;.setDefaultHostnameVerifier (Lorg/conscrypt/ConscryptHostnameVerifier;)V
09-15 14:27:07.620  3023  3023 D dalvikvm: VFY: replacing opcode 0x71 at 0x0003
09-15 14:27:07.620  3023  3023 W dalvikvm: Unable to resolve superclass of Lorg/conscrypt/TrustManagerImpl; (305)
09-15 14:27:07.620  3023  3023 W dalvikvm: Link of class 'Lorg/conscrypt/TrustManagerImpl;' failed
